ts,yaw,pitch,roll
53552,-6.1834383,13.954096,2.5478508
53568,-6.080675,14.107767,2.5296016
53584,-5.960578,14.006713,2.447713
53616,-6.125683,13.875458,2.4361718
53632,-6.04314,13.872113,2.3985662
53648,-6.0260873,14.072639,2.3218732
53664,-5.969045,14.065111,2.3118699
53696,-5.915536,14.103964,2.2772844
53712,-5.9629674,14.359224,2.319604
53728,-6.091567,14.301724,2.3983219
53745,-5.9555645,14.4330635,2.4215453
53777,-5.921978,14.333583,2.4673185
53793,-5.947227,14.136825,2.5420744
53808,-6.021525,14.081106,2.4958963
53824,-5.919691,14.057228,2.5944276
53856,-5.895582,14.1712885,2.5555758
53872,-5.9163966,14.214116,2.6396284
53888,-5.9078484,14.428099,2.7307498
53904,-6.2387843,14.315879,2.8835528
53936,-6.107388,13.656594,2.87781
53952,-6.2766986,13.210013,2.838372
53968,-6.0207596,13.238929,2.820666
53984,-6.051482,13.990874,2.862961
54016,-5.964845,14.336006,2.7357328
54032,-6.042717,14.507116,2.5461075
54048,-5.8938813,14.602121,2.5649858
54064,-5.984303,14.692145,2.5546834
54096,-6.085728,14.500906,2.687236
54113,-5.938256,14.4495325,2.7183387
54129,-5.982833,14.520487,2.735153
54145,-6.150092,14.161983,2.727595
54176,-6.1339383,14.169503,2.7487822
54192,-6.2159443,14.049193,2.776296
54208,-6.1987667,14.178227,2.743944
54224,-6.1686735,13.934349,2.6820428
54256,-6.090691,13.903532,2.7389507
54272,-6.0221086,13.938326,2.6938245
54288,-6.117055,13.91633,2.7132998
54304,-6.1214304,14.050941,2.7180803
54336,-6.101959,14.154743,2.6651788
54352,-6.085062,14.1241045,2.6689394
54368,-6.183653,14.01872,2.657372
54384,-6.014024,14.002877,2.634917
54416,-6.0751405,14.128673,2.5817943
54432,-5.923319,14.135445,2.4887338
54448,-5.9485626,14.089615,2.5324335
54464,-5.991798,13.894627,2.5373704
54496,-5.980236,13.793609,2.5418236
54513,-6.0251446,13.858488,2.5930367
54529,-5.921322,13.944357,2.4674337
54544,-5.956576,14.005931,2.5639577
54576,-6.0217366,13.887939,2.5186968
54592,-6.1961675,13.955849,2.6043117
54608,-6.0151567,14.052995,2.599284
54624,-6.058889,14.118962,2.5437298
54656,-5.8041244,13.997871,2.6148286
54672,-5.9295516,14.03178,2.578603
54688,-5.9893737,14.111112,2.562036
54704,-6.1952066,14.054296,2.5863616
54736,-6.1380596,13.900575,2.6687198
54752,-6.280338,13.900624,2.6091568
54768,-6.319616,13.858714,2.6245744
54784,-6.3639402,13.800983,2.6476805
54816,-6.266284,13.686359,2.6787639
54832,-6.087951,13.825811,2.5303977
54848,-6.1005106,13.8917055,2.4830437
54865,-5.981563,13.913102,2.5484254
54897,-5.932415,13.7398,2.4751058
54913,-6.0550833,13.950895,2.4528432
54928,-5.9266076,13.96923,2.4935
54944,-6.0285225,13.938163,2.4054062
54976,-6.0720096,14.041969,2.426208
54992,-6.168829,14.207644,2.4414082
55008,-6.1089873,14.263719,2.5226576
55024,-6.121053,14.333467,2.4227448
55056,-5.933489,14.214923,2.4513316
55072,-6.042997,14.133955,2.4493022
55088,-5.9246483,14.225755,2.4356475
55104,-6.0629954,14.216346,2.4667614
55136,-6.0384874,14.173767,2.4160788
55152,-6.1375766,14.128887,2.4410496
55168,-5.97949,14.281197,2.4278748
55184,-5.9346747,14.290557,2.3792458
55216,-5.9337444,14.438908,2.3422196
55232,-5.9679003,14.152889,2.481376
55249,-6.004718,14.282813,2.451663
55265,-6.204515,14.223281,2.53658
55296,-6.1505013,14.267493,2.570127
55312,-6.229313,14.239928,2.6205037
55328,-6.168837,14.39834,2.5821984
55344,-6.168602,14.459703,2.5940337
55376,-6.0741158,14.392631,2.61141
55392,-6.030346,14.418662,2.5847409
55408,-6.151636,14.269572,2.6310587
55424,-6.016445,14.342206,2.5964518
55456,-5.95999,14.282374,2.5803874
55472,-6.0620046,13.878556,2.6724079
55488,-5.963406,13.464295,2.7143087
55504,-6.00988,13.730964,2.6307173
55536,-6.060442,14.32107,2.5358236
55552,-5.982605,14.614019,2.4866028
55568,-6.0615797,14.571983,2.476972
55584,-6.237915,14.510768,2.5673048
55616,-6.1736712,14.560767,2.509434
55633,-6.040978,14.579518,2.5239727
55649,-5.97913,14.504968,2.483066
55665,-6.056631,14.610837,2.4443104
55696,-5.9611845,14.542672,2.4637582
55712,-6.060613,14.565183,2.5389476
55728,-6.1646643,14.756536,2.5607657
55744,-6.1476417,14.7423,2.6213672
55776,-5.9401445,14.531132,2.559969
55792,-5.8590336,14.6675205,2.4139283
55808,-5.856988,14.73252,2.3127012
55824,-5.967141,14.664108,2.5012615
55856,-5.990254,14.623214,2.400856
55872,-5.9828687,14.738339,2.366839
55888,-6.1159167,14.768278,2.4112365
55904,-6.1144214,14.507228,2.404081
55936,-5.9426746,14.514656,2.3544495
55952,-5.9782763,14.387608,2.339319
55968,-6.0061545,14.255821,2.3178315
55985,-5.97806,14.285268,2.2989929
56017,-5.8927526,14.449119,2.2439737
56033,-5.84716,14.325782,2.2639241
56048,-5.8478274,14.304972,2.2608716
56064,-6.0663633,14.017246,2.275965
56096,-6.138584,14.009652,2.2122805
56112,-5.7907095,14.238918,2.1805387
56128,-5.832479,13.51962,2.2632184
56144,-6.0080333,13.803921,2.1278992
56176,-6.0424247,14.529386,2.006796
56192,-5.845811,14.241913,2.0400484
56208,-6.1348915,14.280584,2.124461
56224,-6.0284843,14.27802,2.1865253
56256,-6.0867896,14.564875,2.1330218
56272,-6.0383654,14.2942295,2.0563688
56288,-6.2307673,14.5601845,2.1126187
56304,-5.7610393,14.7631445,2.1356556
56336,-5.7878838,14.753193,2.1356595
56352,-5.8756495,14.8271265,2.161638
56369,-6.0763235,14.757443,2.179216
56385,-5.7705503,14.7567005,2.1191196
56416,-5.9906354,14.705892,2.1683853
56432,-5.8532953,14.698367,2.0702827
56448,-6.140063,14.563853,2.192101
56464,-5.947172,14.693042,2.158004
56496,-5.917488,14.467541,2.1159527
56512,-5.8643126,14.430507,2.084562
56528,-5.889564,14.58688,2.0883603
56544,-5.650806,14.725252,1.9547933
56576,-5.9161267,14.69437,2.0982575
56592,-5.775471,14.802796,2.1647162
56608,-5.7022376,14.645774,2.1348875
56624,-5.573943,14.827753,2.092367
56656,-5.830511,14.628965,2.0897427
56672,-5.7591105,14.641806,2.0907452
56688,-5.8480644,14.621913,2.1075544
56704,-5.8674397,14.658607,2.1105533
56736,-5.886596,14.567229,2.1334686
56753,-5.877193,14.80454,2.1274204
56769,-5.965554,14.818479,2.176789
56785,-6.021996,14.90507,2.0806253
56816,-5.9973006,14.876801,2.1427054
56832,-5.9144907,14.959744,1.9842808
56848,-5.7825937,14.707476,2.014308
56864,-5.9277406,14.19777,1.9825256
56896,-5.903016,14.525921,1.857876
56912,-5.996028,15.078021,1.7919393
56928,-6.0254097,15.036299,1.7668989
56944,-6.0201187,15.092598,1.8869995
56976,-6.0565057,14.926833,1.9523318
56992,-6.172105,14.955286,1.9275585
57008,-6.082122,14.882181,1.9167479
57024,-6.046646,14.821502,1.9699861
57056,-6.025263,14.62398,1.9092692
57072,-5.8585997,14.427407,1.8025028
57088,-5.8501863,14.413542,1.8675414
57104,-5.8670144,14.4674,1.8894752
57137,-5.618599,14.510296,1.814948
57153,-5.7555575,14.451884,1.850985
57168,-5.617918,14.387454,1.8224407
57184,-5.6825867,14.632295,1.8395779
57216,-5.781138,14.430849,1.8572589
57232,-5.840553,14.516363,1.8492208
57248,-5.963225,14.430789,1.8717086
57264,-5.817344,14.604511,1.7808301
57296,-5.7771206,14.727156,1.7025698
57312,-5.7621675,14.588624,1.6932621
57328,-5.752554,14.494361,1.6680838
57344,-5.6466036,14.420499,1.6293391
57376,-5.573199,14.484532,1.5994282
57392,-5.569941,14.533199,1.5543215
57408,-5.56345,14.705206,1.6204672
57424,-5.543199,14.772219,1.602583
57456,-5.624234,14.730642,1.5884014
57472,-5.6619473,14.79579,1.6413803
57489,-5.6647315,14.629528,1.6009858
57505,-5.7055235,14.407198,1.5636194
57536,-5.6562605,14.561107,1.5302885
57552,-5.5704746,14.460413,1.5104754
57568,-5.410598,14.514089,1.371233
57584,-5.3125343,14.372491,1.2453634
57616,-5.0619035,14.421958,1.0418355
57632,-5.0289598,14.645418,0.9301839
57648,-4.987353,14.596249,0.743799
57664,-4.7637205,14.855042,0.5849314
57696,-4.613373,14.8611765,0.469791
57712,-4.552184,14.854003,0.30629557
57728,-4.4695954,14.722656,0.12880926
57744,-4.426566,14.755745,-0.030821811
57776,-4.125536,14.888902,-0.2559116
57792,-3.7581627,14.790778,-0.353422
57808,-3.558527,15.082337,-0.51855946
57824,-3.3195174,15.769434,-0.63197064
57856,-3.1380212,16.009382,-0.76206964
57873,-3.0450442,15.518283,-0.93966085
57889,-3.0156553,15.5497875,-1.117493
57905,-2.9441395,15.188694,-1.2675967
57936,-2.9981592,14.953869,-1.3894546
57952,-2.9216566,14.880478,-1.5870241
57969,-2.9578493,14.853511,-1.7025832
57984,-3.2400866,14.46894,-1.7784884
58016,-3.0630953,14.446706,-1.9478236
58032,-3.146809,14.582716,-2.0144577
58048,-3.1111107,14.334181,-2.0588608
58064,-2.9792457,14.542657,-2.1317065
58096,-2.8330162,14.44314,-2.0966864
58112,-2.6573038,14.280052,-2.216639
58128,-2.684526,14.290505,-2.2351632
58144,-2.523821,14.195033,-2.313828
58176,-2.5800796,14.2130165,-2.389042
58192,-2.6234868,14.123193,-2.4709773
58208,-2.5370882,13.825306,-2.5156815
58225,-2.3665416,13.962814,-2.4210215
58257,-2.6035843,13.676758,-2.5409482
58273,-2.4002144,13.878447,-2.5218875
58288,-2.5721939,13.683326,-2.539869
58304,-2.6564417,13.8041315,-2.6194222
58336,-2.6729167,13.69277,-2.7488122
58352,-2.6614408,13.804615,-2.696637
58368,-2.4897811,13.760576,-2.6957254
58384,-2.295813,14.005881,-2.6916072
58416,-2.449152,13.981075,-2.6547568
58432,-2.299179,13.9443445,-2.6433818
58448,-2.419192,13.770313,-2.653383
58464,-2.3575678,14.046142,-2.5570536
58496,-2.1822352,13.731661,-2.5178816
58512,-2.0847964,13.820484,-2.5271468
58528,-2.1355278,13.991235,-2.53221
58544,-2.244071,13.916002,-2.523707
58576,-2.337847,13.9458275,-2.456421
58592,-2.3498154,13.8915415,-2.5418243
58609,-2.3146958,13.814123,-2.5950441
58625,-2.3238502,13.825709,-2.5699236
58656,-2.2798839,13.728094,-2.6382735
58672,-2.3158462,13.576918,-2.717276
58688,-2.1087291,13.72974,-2.7479997
58704,-2.053338,13.767614,-2.7639172
58736,-1.9601426,13.605712,-2.7319539
58752,-2.0103033,13.446,-2.7796009
58768,-2.1525037,13.269129,-2.725435
58784,-2.0224605,13.37078,-2.692403
58816,-1.9900501,13.668006,-2.6871994
58832,-2.070098,13.597546,-2.7032135
58848,-2.1399615,13.6399765,-2.6301801
